rank,arch,hidden,seq_len,epochs,lr,ewma,th_name,recalc_n,precision,recall,f1,accuracy,seg_det,seg_total,score
120,GRU-AE,64,100,30,0.005,0.3,TH1 P99 w50 r50,50,71.4,100.0,77.6,86.6,6,6,77.6
121,GRU-AE,256,50,30,0.005,0.3,TH1 P99 w30 r50,50,70.2,100.0,76.2,84.5,6,6,76.2
122,GRU-AE,64,150,30,0.005,0.3,TH1 P99 w30 r50,50,69.1,100.0,76.0,86.7,6,6,76.0
123,GRU-AE,64,50,30,0.005,0.3,TH1 P99 w30 r50,50,68.3,100.0,74.9,81.8,6,6,74.9
124,GRU-AE,64,100,30,0.005,0.3,TH1 P99 w30 r50,50,66.8,100.0,74.8,84.1,6,6,74.8
125,GRU-AE,256,50,30,0.005,0.3,TH3 z3-10 w120 r1,1,73.7,75.0,74.3,92.0,5,6,74.3
126,GRU-AE,128,50,30,0.005,0.3,TH1 P99 w30 r50,50,66.4,100.0,74.1,82.1,6,6,74.1
127,GRU-AE,256,50,30,0.005,0.3,TH3 z3-10 w80 r1,1,73.0,75.0,74.0,92.0,5,6,74.0
128,GRU-AE,64,150,30,0.005,0.3,TH2 α3.5 w80 r1,1,72.1,75.0,73.5,81.8,5,6,73.5
129,GRU-AE,64,150,30,0.005,0.3,TH3 z3-10 w80 r1,1,71.5,75.0,73.2,81.7,5,6,73.2
130,GRU-AE,128,150,30,0.005,0.3,TH2 α3.5 w80 r1,1,71.5,75.0,73.2,81.8,5,6,73.2
131,GRU-AE,256,150,30,0.005,0.3,TH2 α3.5 w80 r1,1,71.5,75.0,73.2,81.8,5,6,73.2
132,GRU-AE,64,150,30,0.005,0.3,TH3 z3-10 w120 r1,1,71.0,75.0,72.9,81.6,5,6,72.9
133,GRU-AE,256,150,30,0.005,0.3,TH3 z3-10 w120 r1,1,71.0,75.0,72.9,81.6,5,6,72.9
134,GRU-AE,256,150,30,0.005,0.3,TH3 z3-10 w80 r1,1,70.9,75.0,72.8,81.7,5,6,72.8
135,GRU-AE,64,150,30,0.005,0.3,TH4 α3 w150 c2 r1,1,70.5,75.0,72.5,81.4,5,6,72.5
136,GRU-AE,64,150,30,0.005,0.3,TH4 α3 w150 c5 r1,1,70.5,75.0,72.5,81.4,5,6,72.5
137,GRU-AE,256,150,30,0.005,0.3,TH4 α3 w150 c2 r1,1,70.5,75.0,72.5,81.4,5,6,72.5
138,GRU-AE,256,150,30,0.005,0.3,TH4 α3 w150 c5 r1,1,70.5,75.0,72.5,81.4,5,6,72.5
139,GRU-AE,64,50,30,0.005,0.3,TH3 z2-10 w120 r1,1,70.3,75.0,72.5,91.5,5,6,72.5
140,GRU-AE,256,50,30,0.005,0.3,TH3 z2-10 w120 r1,1,70.0,75.0,72.2,91.5,5,6,72.2
141,GRU-AE,128,50,30,0.005,0.3,TH3 z2-10 w120 r1,1,70.0,75.0,72.2,91.4,5,6,72.2
142,GRU-AE,256,50,30,0.005,0.3,TH3 z2-10 w80 r1,1,69.2,75.0,71.8,91.4,5,6,71.8
143,GRU-AE,256,150,30,0.005,0.3,TH4 α3 w150 c2 r10,10,69.1,75.0,71.7,80.9,5,6,71.7
144,GRU-AE,256,150,30,0.005,0.3,TH4 α3 w150 c5 r10,10,69.1,75.0,71.7,80.9,5,6,71.7
145,GRU-AE,128,100,30,0.005,0.3,TH3 z3-10 w80 r1,1,69.0,75.0,71.7,84.4,5,6,71.7
146,GRU-AE,64,50,30,0.005,0.3,TH3 z2-10 w80 r1,1,69.0,75.0,71.6,91.1,5,6,71.6
147,GRU-AE,256,50,30,0.005,0.3,TH3 z3-10 w120 r10,10,69.0,75.0,71.6,91.6,5,6,71.6
148,GRU-AE,256,100,30,0.005,0.3,TH3 z3-10 w80 r1,1,68.7,75.0,71.4,84.4,5,6,71.4
149,GRU-AE,64,100,30,0.005,0.3,TH3 z3-10 w120 r10,10,68.6,75.0,71.3,91.6,5,6,71.3
150,GRU-AE,128,50,30,0.005,0.3,TH3 z3-10 w120 r10,10,68.4,75.0,71.2,91.5,5,6,71.2
151,GRU-AE,128,50,30,0.005,0.3,TH3 z2-10 w120 r10,10,68.2,75.0,71.1,91.4,5,6,71.1
152,GRU-AE,256,50,30,0.005,0.3,TH3 z2-10 w120 r10,10,68.1,75.0,71.1,91.3,5,6,71.1
153,GRU-AE,64,50,30,0.005,0.3,TH3 z2-10 w120 r10,10,68.0,75.0,71.0,91.2,5,6,71.0
154,GRU-AE,256,150,30,0.005,0.3,TH3 z2-10 w120 r1,1,67.8,75.0,71.0,80.3,5,6,71.0
155,GRU-AE,64,50,30,0.005,0.3,TH3 z3-10 w80 r10,10,67.9,75.0,70.8,91.5,5,6,70.8
156,GRU-AE,128,50,30,0.005,0.3,TH2 α3.5 w80 r10,10,67.9,75.0,70.8,91.5,5,6,70.8
157,GRU-AE,256,50,30,0.005,0.3,TH2 α3.5 w80 r10,10,67.9,75.0,70.8,91.5,5,6,70.8
158,GRU-AE,256,50,30,0.005,0.3,TH3 z3-10 w80 r10,10,67.9,75.0,70.8,91.5,5,6,70.8
159,GRU-AE,128,50,30,0.005,0.3,TH3 z3-10 w80 r10,10,67.6,75.0,70.7,91.4,5,6,70.7
160,GRU-AE,256,100,30,0.005,0.3,TH4 α3 w150 c2 r1,1,67.5,75.0,70.7,81.2,5,6,70.7
161,GRU-AE,256,100,30,0.005,0.3,TH4 α3 w150 c5 r1,1,67.5,75.0,70.7,81.2,5,6,70.7
